id,message_type,scenario,message_content,has_link_or_attachment,asks_for_credentials,urgency_level,ground_truth_label,attack_technique,suspicious_features
1,Email,情境一：帳號驗證與權限異常,【計算機中心緊急通知】您的校園帳號因偵測到多次異常登入，安全系統已將其暫時鎖定。請於今日23:59前點擊以下連結完成身分重新驗證，否則帳號將永久停用，選課與成績資料亦將無法存取：http://campus-verify-tw.site/login,是,是,高,高風險,帳號網釣 (Credential Phishing),假冒計中；以「帳號永久停用」威脅；連結非校方官方網域；強調會影響選課與成績
2,LINE,情境一：帳號驗證與權限異常,您好，我是資訊處系統管理員。您的校園信箱容量已達99.8%，系統將於今晚自動清除所有郵件。請立即掃描下方QR Code登入驗證並轉移資料，否則重要郵件將全數消失。[附假QR Code],是,是,高,高風險,帳號網釣 (Credential Phishing),透過LINE假冒資訊處；「郵件全數消失」製造恐慌；非官方管道傳送QR Code
3,簡訊,情境一：帳號驗證與權限異常,【校務系統】您的帳號於今日03:22在境外IP登入，疑似遭盜用。請立即至 http://stu-portal-secure.net 重設密碼並完成雙重驗證，逾1小時未處理將自動停權。,是,是,高,高風險,帳號網釣 (Credential Phishing),以境外IP登入製造恐慌；連結非學校官方網域；1小時極短限時
4,Email,情境一：帳號驗證與權限異常,"Dear Student, Your university email account has exceeded its storage quota (100%). All incoming emails are being blocked. Please click the link below to verify your account and upgrade storage immediately: http://mail-upgrade-university.xyz/verify — IT Help Desk",是,是,高,高風險,帳號網釣 (Credential Phishing),假冒IT Help Desk；英文偽裝正式；連結使用非學校.xyz網域
5,學校平台,情境一：帳號驗證與權限異常,【系統警示】您的帳號密碼強度過低，已被系統列為高風險帳號。為維護您的資料安全，請在今日下班前點擊此連結輸入現有密碼及新密碼完成升級：http://password-reset-campus.com，請勿告知他人。,是,是,高,高風險,帳號網釣 (Credential Phishing),要求輸入「現有密碼」為重大紅旗；連結非官方網域；「請勿告知他人」阻止受害者求助
6,Email,情境一：帳號驗證與權限異常,通知：您的學校 Microsoft 365 授權將於本週五到期，屆時 Word、Excel、Teams 將全面停用。請立即點擊以下連結以學校帳號登入完成授權續約：http://ms365-edu-renew.info/auth。此為限時操作，過期無法線上處理。,是,是,高,高風險,帳號網釣 (Credential Phishing),偽裝Office授權到期；假連結非微軟或學校官方網域；強調週五到期製造時間壓力
7,LINE,情境一：帳號驗證與權限異常,同學你好，因學校系統改版，所有帳號需重新綁定手機號碼，否則下週起無法使用校務系統。請傳送你的「學號、身分證字號、手機號碼」給我，我這邊統一協助處理，謝謝。,否,是,高,高風險,個資竊取 (Data Harvesting),透過LINE直接索取身分證字號；聲稱「協助處理」以降低警戒；無官方連結但直接索取敏感個資
8,簡訊,情境一：帳號驗證與權限異常,【圖書館系統通知】您的借閱帳號因超過90天未登入已進入休眠狀態，借閱紀錄與預約將於今日清除。請即刻至 http://lib-reactivate.net 以學號密碼重新啟用。,是,是,高,高風險,帳號網釣 (Credential Phishing),假冒圖書館系統；以「借閱紀錄清除」施壓；連結非學校官方網域
9,Email,情境一：帳號驗證與權限異常,【國立大學計算機中心】本中心將於本週日凌晨02:00–06:00進行例行系統維護，期間校務資訊系統、電子郵件及VPN服務將暫停使用。如有急需請提前處理，造成不便敬請見諒。,否,否,低,低風險,無,官方來源；僅告知維護時間；無要求任何操作或個資
10,學校平台,情境一：帳號驗證與權限異常,【資訊處公告】提醒同學，學校不會透過簡訊或LINE要求您提供帳號密碼。若收到要求輸入密碼的連結，請勿點擊並立即向資訊處通報。官方密碼重設請至 https://portal.ntu.edu.tw/password。,是,否,低,低風險,無,安全意識宣導；官方網域連結；明確告知正確程序
